StartDay,LastDay,Factor
25.02.2015,,1
01.07.2015,,0
05.09.2014,,1
01.10.2014,30.09.2015,1
01.10.2014,15.09.2015,0
01.08.2014,,1
10.08.2012,,0
01.11.2010,29.05.2015,0
12.05.2015,30.10.2015,0
13.11.2014,,0
22.01.2015,30.04.2015,1
23.01.2014,,0
01.08.2014,,1
10.11.2014,,1
13.04.2011,20.03.2015,0
06.11.2015,,0
22.09.2009,,1
14.09.2009,,0
25.05.2015,,1
02.03.2015,,1
11.02.2013,,0
24.08.2015,,1
08.07.2014,04.05.2015,0
13.07.2015,05.10.2015,0
04.05.2010,15.05.2015,1
28.08.2006,,1
18.06.2007,,1
02.12.2013,,1
08.06.2015,,1
01.03.2013,05.06.2015,0
04.05.2015,,1
22.07.2013,,1
01.12.2005,23.11.2015,1
11.03.2013,10.04.2015,0
07.08.2015,,1
07.07.2014,,1
01.09.2014,12.06.2015,1
01.08.2014,,1
04.05.2015,,0
04.03.2013,,1
17.10.2005,,0
23.05.2014,,1
08.06.2015,,1
28.02.2011,,1
22.04.2015,,0
02.04.2012,,1
06.10.2014,,1
19.02.2007,,1
07.07.2014,,0
04.05.2011,,0
17.09.2015,,0
01.02.2013,07.08.2015,0
01.08.2011,07.07.2015,0
01.10.2002,,1
01.06.2015,,1
17.05.2010,,1
01.08.2012,,0
13.02.2012,,0
21.11.2014,03.02.2015,0
02.11.2009,,1
23.02.2012,,0
03.02.2014,08.05.2015,0
01.09.2000,,1
03.03.2008,14.05.2015,1
18.03.2013,26.01.2015,0
01.07.2014,01.04.2015,0
16.05.2012,,0
10.03.2014,30.09.2015,0
21.01.2013,,0
09.09.2013,,1
03.12.2012,,1
02.02.2011,29.05.2015,1
26.01.2012,,1
05.05.2015,,1
02.04.2012,,0
02.04.2015,,0
23.09.2009,,1
01.04.2009,,1
06.06.2014,,0
06.06.2014,30.06.2015,0
01.08.2011,,1
11.02.2015,,0
14.04.2014,,0
01.02.2013,30.01.2015,1
25.09.2009,,1
09.08.2011,,0
15.09.2009,,1
01.08.2012,,0
03.02.2014,02.07.2015,0
10.02.2014,30.10.2015,0
21.11.2011,10.02.2015,0
01.08.2011,,0
04.12.2013,,1
04.10.2010,,0
01.03.2012,,1
12.05.2014,24.09.2015,0
01.07.2015,,0
19.06.2013,,0
20.11.2013,,0
18.10.2012,,1
01.06.2012,30.06.2015,0
15.09.2009,,0
10.12.2012,,1
12.05.2011,24.08.2015,0
16.06.2015,,1
02.02.2015,11.09.2015,0
06.08.2013,31.07.2015,1
20.11.2006,,1
07.06.2012,,0
16.04.2012,,1
06.10.2014,,1
01.02.2012,,0
23.02.2012,,0
01.03.2010,,0
11.03.2014,,1
02.02.2012,21.10.2015,0
25.10.2013,29.05.2015,0
23.08.2013,,1
07.04.2015,,0
21.09.2011,,1
17.03.2015,,0
10.07.2013,01.04.2015,0
07.09.2009,,0
14.08.2015,,0
21.09.2009,,0
10.01.2014,,1
14.05.2012,,0
22.02.2012,,1
03.06.2015,,1
17.04.2012,,1
03.09.2012,30.10.2015,1
14.03.2012,,0
02.11.2015,,0
14.07.2014,,0
03.06.2013,,0
09.12.2013,,1
14.09.2005,,1
20.10.2014,,0
26.05.2014,,1
29.09.2014,,0
25.01.2010,,1
18.06.2014,,1
02.04.2013,,1
12.08.2013,,1
05.12.2013,,1
17.10.2013,,1
25.11.2013,,1
05.07.2010,,0
04.02.2013,10.08.2015,1
11.05.2006,,1
01.02.2005,30.04.2015,0
23.05.2014,,0
03.06.2013,,1
05.08.2008,,0
04.08.2014,,1
17.01.2008,,0
21.11.2002,,1
03.01.2014,,1
10.01.2011,27.02.2015,0
01.02.2012,,0
27.08.2014,10.04.2015,0
07.06.2001,,0
01.11.2013,,1
25.08.2014,,1
06.08.2015,,1
01.11.2006,,0
03.02.2015,31.03.2015,1
01.04.2013,,0
10.02.2012,,1
11.09.2009,,1
25.11.2011,,1
03.08.2007,,1
03.01.2014,,1
02.06.2014,,0
04.05.2015,,1
01.11.2013,,1
07.04.2014,,1
24.11.2010,,0
01.11.2012,,0
05.05.2014,,1
01.04.2014,,0
01.09.2014,,1
01.07.2013,,1
06.02.2014,,1
02.09.2013,,1
05.05.2014,,1
06.10.2015,,1
15.08.2011,12.01.2015,0
28.09.2009,,1
01.08.2014,31.07.2015,1
15.02.2012,,0
01.04.2014,31.03.2015,1
29.09.2009,,1
16.04.2013,,1
04.03.2014,,0
08.07.2014,21.08.2015,0
22.05.2013,21.08.2015,1
01.07.2014,,1
01.10.2015,,1
12.03.2013,07.08.2015,1
01.11.2002,,1
03.08.2015,,0
01.11.2007,,1
08.02.2010,,1
06.11.2015,,1
20.05.2015,,0
11.07.2013,,0
23.06.2014,,1
01.07.2015,,1
01.07.2014,,1
20.03.2014,19.03.2015,1
20.06.2013,,1
26.10.2012,,1
01.03.2013,26.08.2015,0
01.08.2014,17.09.2015,0
06.06.2014,,1
01.04.2014,,1
13.09.2013,08.05.2015,0
06.03.2012,,1
08.07.2014,02.07.2015,0
17.11.2014,,1
02.03.2015,,1
23.09.2014,,1
23.09.2014,02.07.2015,0
10.09.2014,06.07.2015,0
14.04.2014,,1
04.06.2014,03.06.2015,0
05.06.2015,,1
01.09.2015,,1
01.12.2014,27.02.2015,0
01.06.2015,,0
02.06.2014,06.01.2015,0
03.11.2014,,1
02.06.2014,29.05.2015,0
06.11.2014,26.08.2015,0
21.10.2014,08.07.2015,1
09.10.2014,,0
24.09.2014,,1
02.10.2014,,1
02.06.2014,27.05.2015,0
17.09.2015,,1
09.10.2014,,0
01.10.2014,04.05.2015,0
09.09.2015,,0
12.08.2014,24.07.2015,0
01.08.2014,18.08.2015,0
17.06.2014,07.04.2015,0
05.02.2009,,0
08.12.2014,,0
10.10.2014,18.09.2015,0
21.10.2014,,0
03.08.2015,31.10.2015,0
01.08.2014,,1
21.05.2014,10.09.2015,1
24.11.2014,,1
02.10.2014,,1
18.06.2014,01.07.2015,0
28.11.2014,,1
17.06.2014,,0
09.04.2015,,1
13.10.2014,15.04.2015,0
12.09.2014,,0
03.06.2013,,1
12.07.2012,,0
16.01.2012,,1
11.01.2013,,0
01.11.2013,03.11.2015,1
02.10.2014,,0
24.09.2015,,0
05.05.2014,,1
01.03.2012,,1
16.07.2012,,1
14.02.2014,30.09.2015,0
01.08.2013,,1
06.11.2014,10.02.2015,0
04.04.2011,,1
23.10.2009,06.05.2015,0
07.05.2015,,0
25.08.2014,01.04.2015,0
04.05.2015,,0
01.03.2012,,0
24.07.2014,,0
02.03.2015,,1
23.08.2012,,0
18.06.2013,,1
14.02.2012,,1
10.07.2013,,1
06.06.2014,,0
03.02.2014,,0
02.05.2013,,1
08.04.2014,,0
23.08.2013,20.08.2015,1
03.05.2012,,1
21.08.2015,,1
16.02.2010,03.04.2015,0
22.01.2015,,0
02.04.2012,,0
18.05.2015,,1
23.02.2011,,1
20.02.2012,,1
26.04.2011,,1
29.01.2015,20.07.2015,0
06.04.2015,,0
13.03.2015,,1
17.01.2014,,1
01.04.2013,,0
06.05.2014,01.09.2015,0
16.08.2012,,1
25.05.2012,,1
06.05.2014,,0
01.12.2014,,1
12.03.2013,,0
09.02.2015,,1
12.01.2015,,1
18.12.2014,,1
12.09.2011,,1
12.07.2012,05.08.2015,0
16.12.2014,,1
23.07.2015,,1
03.04.2013,,1
22.03.2013,,1
02.12.2014,03.02.2015,0
10.10.2014,30.04.2015,0
05.05.2015,,1
02.12.2014,,1
20.03.2013,,1
11.04.2013,04.05.2015,1
11.05.2015,,0
01.06.2015,,1
03.09.2014,02.09.2015,0
07.07.2014,,1
23.05.2014,27.02.2015,0
12.11.2014,,1
20.03.2013,05.05.2015,1
04.05.2015,,0
01.08.2014,21.08.2015,0
03.10.2014,,0
01.07.2014,17.04.2015,0
09.03.2011,,1
03.09.2015,,1
15.05.2014,,0
04.08.2015,04.11.2015,0
02.11.2015,,0
14.02.2014,04.05.2015,0
24.08.2009,,0
25.07.2012,,0
02.11.2015,,0
03.11.2014,21.08.2015,0
20.05.2015,,1
18.06.2013,,1
01.08.2012,,0
18.05.2015,,1
11.11.2014,,1
06.11.2012,,1
08.10.2014,,0
08.08.2014,07.09.2015,0
11.10.2013,,1
01.10.2014,,1
04.05.2015,,0
21.05.2015,,1
04.05.2015,,0
03.01.2012,,1
11.10.2013,29.05.2015,0
05.10.2010,,1
20.10.2014,,1
01.08.2014,,0
05.05.2015,,1
24.08.2015,,0
06.05.2015,,1
12.01.2015,04.05.2015,0
02.03.2015,,1
06.11.2013,,1
21.11.2013,,0
02.04.2012,,1
08.10.2012,,1
07.12.2012,,0
02.04.2012,,0
23.01.2015,05.05.2015,0
03.11.2014,30.06.2015,0
12.10.2015,,0
07.05.2013,,0
02.09.2014,,0
11.02.2013,,1
04.11.2013,30.10.2015,0
05.01.2015,,1
01.02.2013,,1
04.07.2011,,1
01.04.2014,,0
01.07.2014,30.10.2015,0
11.11.2014,30.10.2015,0
10.09.2013,09.09.2015,0
24.03.2014,,0
03.11.2014,30.10.2015,1
04.05.2015,20.11.2015,0
14.04.2014,,1
12.03.2012,,1
04.12.2014,15.09.2015,0
10.02.2015,,0
13.01.2014,30.10.2015,0
15.04.2015,11.09.2015,0
03.08.2012,,0
01.02.2012,31.01.2015,1
15.07.2015,06.10.2015,0
02.02.2015,,0
05.11.2014,23.10.2015,0
03.09.2015,30.10.2015,0
16.04.2013,,1
05.01.2015,30.04.2015,0
24.12.2014,30.10.2015,0
21.08.2015,04.11.2015,0
12.02.2013,25.08.2015,0
04.05.2015,20.08.2015,0
03.11.2014,24.04.2015,0
08.06.2015,30.10.2015,1
01.08.2014,11.11.2015,0
05.05.2015,17.11.2015,0
03.11.2014,05.06.2015,0
18.06.2012,30.10.2015,0
10.03.2015,30.04.2015,0
03.11.2014,30.10.2015,0
03.11.2014,30.01.2015,0
20.05.2015,09.10.2015,0
03.11.2014,11.05.2015,0
02.11.2010,,0
18.05.2015,05.11.2015,1
03.11.2014,21.09.2015,1
16.10.2014,,0
